source,target,confidence,method,status,evidence,alternatives,catalog_version
apm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apm-bash-completion,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,bash-completion; system-bash-completion,v20260906+5da435c8
apng2gif,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apngasm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apophenia,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apparix,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
appium,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apprise,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
appstream,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
appstream-glib,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apptainer,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
appwrite,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
apr,apr,1.0,exact,confident,name identical in both managers; homepages 'https://apr.apache.org/' vs 'http://apr.apache.org/',,v20260906+5da435c8
apr-util,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; same homepage 'https://apr.apache.org/' as 'apr' but versions '1.6.5' vs '0.9.12'; no lookalikes either,,v20260906+5da435c8
apt,apt,1.0,exact,confident,name identical in both managers; homepages 'https://wiki.debian.org/Apt' vs 'http://packages.qa.debian.org/a/apt.html',,v20260906+5da435c8
apt-dater,apt-dater,1.0,exact,confident,name identical in both managers; homepages 'https://github.com/DE-IBH/apt-dater' vs 'http://www.ibh.de/apt-dater',,v20260906+5da435c8
aptly,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
aptos,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,aptsh,v20260906+5da435c8
aqbanking,aqbanking33,0.73,near-hit,near-hit,nearest same-program port: 6.9.2 vs aqbanking33 5.0.23 (1 major older),,v20260906+5da435c8
aqtinstall,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
aqua,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
arabica,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
aravis,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
arcade-learning-environment,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
arcadedb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,,v20260906+5da435c8
