source,target,confidence,method,status,evidence,alternatives
py313-deepmerge,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-deepmerge,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-deepmerge,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-deepmerge,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-cloup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-cloup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-cloup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-cloup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-cloup,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-click-extra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-click-extra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-click-extra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-click-extra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-boltons,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-boltons,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-boltons,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-click-extra,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
ziggity,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-siphon,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
lxsplit,lxsplit,1.0,exact,confident,name identical in both managers; homepages 'https://lxsplit.sourceforge.net/' vs 'http://www.freebyte.com/hjsplit/#linux',
rars,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-sphn,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-sphn,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-sphn,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
espanso,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-tropycal,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
yaml-language-server,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
vscode-langservers-extracted,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
dockerfile-language-server,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
open-code-review,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
expert,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,expect
py313-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py-mlx-lm,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py314-mlx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py313-mlx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py311-mlx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py312-mlx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
py310-mlx,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
tcl9-tcllib,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
tcl8-tcllib,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
mingw-w64-wine-mono-11.2.0,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-xhprof,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-vld,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-uuid,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-timezonedb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-psr,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-mongodb,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-meminfo,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-mailparse,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-geoip,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-xsl,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-tidy,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-sqlite,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-sodium,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-sockets,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-soap,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-snmp,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
php86-postgresql,,0.0,none,needs-review,no exact/normalized/alias/homepage evidence; fuzzy suggestions listed for review,postgresql
php86-posix,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
