source,target,confidence,method,status,evidence,alternatives
node-serialize-javascript,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-set-blocking,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-set-immediate-shim,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-sha.js,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-shebang-command,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-shebang-regex,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-should,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-signal-exit,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-sinon,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-slash,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-source-list-map,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-source-map,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-source-map-support,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-sourcemap-codec,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-sparkles,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-spdx-correct,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-spdx-exceptions,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-spdx-expression-parse,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-spdx-license-ids,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-split,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-split2,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-sprintf-js,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-ssri,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-stack-utils,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-stream-consume,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-stream-each,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-stream-shift,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-string-decoder,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-string-width,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-strip-ansi,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-strip-json-comments,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
node-supports-color,,0.0,none,missing,no exact/normalized/alias/homepage evidence; no lookalikes either,
